iter	Accuracy	MultiClass
0	0.4363376252	2.223420612
1	0.5150214592	2.152484616
2	0.5679542203	2.085926474
3	0.6022889843	2.020199976
4	0.6566523605	1.97386953
5	0.678111588	1.916742426
6	0.660944206	1.864040619
7	0.678111588	1.823680836
8	0.6795422031	1.774993396
9	0.6938483548	1.734460235
10	0.6995708155	1.69587945
11	0.7038626609	1.666843518
12	0.7167381974	1.621538995
13	0.7281831187	1.586184843
14	0.7381974249	1.554561337
15	0.7439198856	1.526821693
16	0.7510729614	1.496172554
17	0.756795422	1.46253848
18	0.7639484979	1.427743657
19	0.7682403433	1.399077189
20	0.7768240343	1.37257714
21	0.7939914163	1.347410295
22	0.7954220315	1.320637696
23	0.8011444921	1.300654235
24	0.8097281831	1.278287051
25	0.8140200286	1.25861997
26	0.8240343348	1.241961453
27	0.8211731044	1.218478658
28	0.8240343348	1.198494313
29	0.8311874106	1.177559144
30	0.8326180258	1.159584944
31	0.8326180258	1.142053707
32	0.8369098712	1.126196928
33	0.8354792561	1.112246343
34	0.8412017167	1.094429433
35	0.8397711016	1.083374321
36	0.8426323319	1.067243491
37	0.8469241774	1.054292002
38	0.8512160229	1.039782791
39	0.8512160229	1.029148098
40	0.8512160229	1.017197716
41	0.8512160229	1.002884416
42	0.8583690987	0.9875635374
43	0.8669527897	0.975540636
44	0.8769670959	0.9648091001
45	0.8726752504	0.9537402525
46	0.8712446352	0.9402140875
47	0.878397711	0.9282605596
48	0.8798283262	0.9197852966
49	0.878397711	0.9083479077
50	0.878397711	0.8995491054
51	0.8812589413	0.8905128973
52	0.8812589413	0.880455397
53	0.8884120172	0.8704346782
54	0.8884120172	0.8628311645
55	0.8912732475	0.8524504142
56	0.8912732475	0.8418004261
57	0.8927038627	0.8315182865
58	0.895565093	0.8240078787
59	0.8984263233	0.81402206
60	0.8984263233	0.805179133
61	0.895565093	0.7986858861
62	0.8998569385	0.7938380135
63	0.904148784	0.7862322336
64	0.9084406295	0.7774460488
65	0.9084406295	0.7702021192
66	0.9084406295	0.7619978654
67	0.9098712446	0.7546880143
68	0.9098712446	0.7463045854
69	0.9084406295	0.7394143423
70	0.9098712446	0.731757476
71	0.9113018598	0.7255187021
72	0.9141630901	0.7181304234
73	0.9141630901	0.7114014015
74	0.9170243205	0.7046975844
75	0.9184549356	0.6967869675
76	0.9170243205	0.6898281851
77	0.9184549356	0.6841676214
78	0.9184549356	0.6773949763
79	0.9184549356	0.6706975017
