iter	Passed	Remaining
0	94	94450
1	120	59944
2	154	51257
3	193	48156
4	229	45584
5	263	43588
6	298	42390
7	331	41093
8	368	40535
9	401	39728
10	437	39331
11	469	38672
12	505	38412
13	539	38003
14	574	37743
15	610	37554
16	650	37636
17	681	37164
18	716	37005
19	749	36744
20	786	36646
21	820	36476
22	857	36435
23	889	36159
24	925	36095
25	961	36010
26	997	35929
27	1032	35838
28	1070	35844
29	1105	35733
30	1141	35667
31	1172	35465
32	1211	35494
33	1243	35343
34	1282	35353
35	1317	35276
36	1354	35266
37	1384	35058
38	1418	34954
39	1452	34865
40	1487	34794
41	1520	34680
42	1556	34631
43	1591	34588
44	1630	34606
45	1668	34601
46	1701	34507
47	1736	34445
48	1771	34380
49	1804	34289
50	1836	34174
51	1873	34157
52	1906	34059
53	1941	34004
54	1974	33926
55	2011	33904
56	2046	33852
57	2080	33790
58	2115	33745
59	2150	33691
60	2186	33663
61	2220	33600
62	2256	33553
63	2291	33513
64	2326	33469
65	2364	33454
66	2400	33421
67	2438	33418
68	2473	33374
69	2509	33342
70	2544	33288
71	2582	33286
72	2616	33231
73	2651	33175
74	2686	33135
75	2723	33109
76	2762	33115
77	2797	33070
78	2833	33030
79	2868	32989
80	2906	32979
81	2940	32918
82	2973	32856
83	3008	32806
84	3045	32779
85	3079	32730
86	3114	32680
87	3148	32634
88	3186	32620
89	3220	32567
90	3259	32559
91	3297	32548
92	3330	32482
93	3366	32447
94	3399	32385
95	3434	32337
96	3469	32300
97	3501	32230
98	3536	32187
99	3570	32134
100	3605	32091
101	3643	32076
102	3680	32055
103	3717	32023
104	3751	31974
105	3784	31918
106	3821	31893
107	3857	31857
108	3893	31825
109	3929	31790
110	3963	31744
111	3999	31713
112	4033	31663
113	4070	31634
114	4107	31606
115	4146	31598
116	4182	31562
117	4219	31535
118	4256	31510
119	4294	31493
120	4329	31450
121	4363	31404
122	4398	31362
123	4433	31317
124	4470	31295
125	4505	31249
126	4541	31219
127	4574	31166
128	4609	31121
129	4643	31072
130	4680	31048
131	4713	30997
132	4747	30950
133	4785	30925
134	4819	30881
135	4855	30847
136	4891	30814
137	4927	30777
138	4961	30730
139	4998	30705
140	5030	30647
141	5068	30626
142	5101	30576
143	5138	30544
144	5170	30487
145	5204	30445
146	5242	30420
147	5279	30395
148	5314	30351
149	5349	30311
150	5382	30262
151	5417	30225
152	5455	30200
153	5487	30147
154	5524	30116
155	5559	30077
156	5593	30035
157	5628	29993
158	5664	29962
159	5700	29925
160	5731	29870
161	5769	29846
162	5803	29802
163	5838	29762
164	5875	29732
165	5910	29693
166	5946	29661
167	5981	29621
168	6015	29577
169	6051	29545
170	6088	29518
171	6124	29484
172	6157	29434
173	6191	29393
174	6225	29349
175	6261	29315
176	6297	29281
177	6332	29243
178	6365	29194
179	6399	29153
180	6432	29107
181	6468	29074
182	6503	29036
183	6540	29006
184	6577	28974
185	6610	28928
186	6646	28894
187	6681	28859
188	6719	28833
189	6754	28794
190	6789	28756
191	6822	28713
192	6859	28681
193	6893	28638
194	6931	28616
195	6965	28573
196	6997	28521
197	7033	28488
198	7068	28453
199	7102	28411
200	7135	28366
201	7170	28325
202	7203	28282
203	7241	28255
204	7277	28223
205	7311	28181
206	7346	28142
207	7383	28113
208	7418	28075
209	7456	28051
210	7490	28010
211	7527	27979
212	7561	27938
213	7600	27916
214	7635	27878
215	7670	27839
216	7704	27798
217	7746	27788
218	7779	27744
219	7813	27701
220	7847	27662
221	7881	27621
222	7914	27576
223	7950	27544
224	7984	27502
225	8020	27467
226	8056	27435
227	8089	27389
228	8123	27348
229	8153	27298
230	8185	27249
231	8221	27214
232	8253	27170
233	8290	27139
234	8325	27101
235	8364	27077
236	8398	27037
237	8435	27008
238	8470	26971
239	8508	26942
240	8543	26906
241	8579	26874
242	8612	26831
243	8644	26783
244	8678	26742
245	8714	26710
246	8750	26677
247	8788	26647
248	8821	26607
249	8858	26575
250	8892	26534
251	8929	26503
252	8963	26466
253	8997	26426
254	9031	26386
255	9065	26345
256	9101	26312
257	9136	26276
258	9168	26232
259	9201	26189
260	9235	26150
261	9271	26115
262	9307	26082
263	9343	26047
264	9374	26002
265	9409	25964
266	9445	25931
267	9479	25892
268	9516	25861
269	9547	25814
270	9583	25779
271	9620	25748
272	9656	25714
273	9689	25674
274	9725	25640
275	9760	25604
276	9796	25569
277	9831	25534
278	9865	25495
279	9902	25463
280	9937	25427
281	9972	25391
282	10008	25358
283	10040	25312
284	10078	25285
285	10112	25245
286	10145	25203
287	10178	25164
288	10215	25132
289	10248	25091
290	10283	25054
291	10317	25015
292	10352	24980
293	10387	24944
294	10424	24912
295	10459	24877
296	10494	24840
297	10527	24799
298	10560	24758
299	10591	24713
300	10624	24671
301	10659	24635
302	10693	24597
303	10729	24564
304	10761	24522
305	10796	24486
306	10826	24439
307	10864	24409
308	10901	24378
309	10936	24341
310	10972	24309
311	11008	24274
312	11045	24244
313	11078	24203
314	11113	24167
315	11147	24128
316	11184	24096
317	11216	24055
318	11253	24024
319	11285	23982
320	11320	23946
321	11354	23908
322	11386	23866
323	11420	23827
324	11456	23795
325	11488	23751
326	11524	23718
327	11561	23686
328	11594	23646
329	11627	23607
330	11662	23571
331	11694	23529
332	11728	23491
333	11763	23455
334	11795	23415
335	11824	23368
336	11862	23337
337	11895	23298
338	11928	23259
339	11965	23226
340	12001	23193
341	12033	23152
342	12071	23121
343	12106	23086
344	12141	23050
345	12177	23017
346	12209	22977
347	12248	22947
348	12282	22911
349	12314	22869
350	12347	22831
351	12382	22795
352	12417	22759
353	12451	22722
354	12488	22690
355	12524	22656
356	12562	22626
357	12596	22589
358	12632	22556
359	12667	22519
360	12704	22487
361	12736	22447
362	12774	22416
363	12810	22383
364	12841	22340
365	12873	22300
366	12910	22267
367	12947	22236
368	12978	22193
369	13017	22164
370	13051	22128
371	13088	22094
372	13121	22057
373	13155	22020
374	13190	21984
375	13223	21945
376	13255	21905
377	13290	21869
378	13325	21834
379	13359	21797
380	13395	21763
381	13431	21730
382	13464	21690
383	13498	21653
384	13532	21617
385	13567	21581
386	13604	21549
387	13640	21515
388	13673	21476
389	13706	21438
390	13741	21403
391	13774	21365
392	13810	21329
393	13845	21294
394	13883	21265
395	13917	21227
396	13952	21192
397	13988	21158
398	14021	21120
399	14056	21085
400	14087	21043
401	14124	21011
402	14158	20974
403	14194	20940
404	14226	20900
405	14262	20866
406	14296	20829
407	14330	20792
408	14364	20755
409	14400	20722
410	14436	20688
411	14468	20648
412	14501	20610
413	14535	20574
414	14567	20535
415	14605	20503
416	14643	20472
417	14678	20437
418	14714	20403
419	14747	20365
420	14780	20328
421	14816	20293
422	14853	20260
423	14884	20220
424	14917	20182
425	14952	20147
426	14988	20113
427	15017	20070
428	15051	20033
429	15085	19997
